Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.25,-.09,-.16,-.10,-.21,-.18,-.09,-.15,-.23,-.21,-.17,-.17,***,***,-.12,-.16,-.20
1881,-.19,-.14,.04,.06,.07,-.18,.00,-.03,-.15,-.21,-.18,-.07,-.08,-.09,-.16,.05,-.07,-.18
1882,.17,.15,.05,-.15,-.13,-.21,-.16,-.07,-.15,-.24,-.16,-.36,-.11,-.08,.08,-.08,-.15,-.18
1883,-.28,-.36,-.13,-.19,-.18,-.07,-.07,-.13,-.22,-.11,-.24,-.11,-.17,-.19,-.33,-.16,-.09,-.19
1884,-.12,-.08,-.36,-.40,-.34,-.35,-.33,-.27,-.27,-.25,-.33,-.31,-.28,-.27,-.11,-.37,-.31,-.28
1885,-.58,-.33,-.26,-.42,-.45,-.44,-.34,-.30,-.28,-.23,-.24,-.09,-.33,-.35,-.41,-.37,-.36,-.25
1886,-.43,-.50,-.43,-.28,-.24,-.35,-.18,-.30,-.24,-.28,-.27,-.25,-.31,-.30,-.34,-.32,-.28,-.26
1887,-.71,-.57,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.26,-.33,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.33,-.35,-.40,-.20,-.22,-.17,-.10,-.15,-.12,.01,.03,-.04,-.17,-.19,-.34,-.27,-.14,-.03
1889,-.08,.17,.06,.09,-.01,-.10,-.08,-.20,-.24,-.25,-.33,-.29,-.10,-.08,.02,.05,-.13,-.28
1890,-.42,-.46,-.40,-.30,-.40,-.25,-.28,-.39,-.37,-.25,-.44,-.31,-.35,-.35,-.39,-.37,-.31,-.35
1891,-.33,-.47,-.17,-.27,-.16,-.20,-.18,-.17,-.16,-.22,-.31,-.04,-.22,-.25,-.37,-.20,-.18,-.23
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.32,-.27,-.16,-.14,-.41,-.38,-.27,-.24,-.14,-.32,-.27,-.24
