Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.52,-.23,-.30,-.06,-.16,-.18,-.25,-.23,-.31,-.42,-.38,-.28,***,***,-.20,-.20,-.32
1881,-.30,-.22,-.01,.01,.04,-.32,.08,-.04,-.26,-.43,-.37,-.23,-.17,-.18,-.30,.01,-.09,-.35
1882,.27,.23,.03,-.29,-.22,-.27,-.26,-.15,-.25,-.52,-.33,-.67,-.20,-.16,.09,-.16,-.22,-.36
1883,-.56,-.65,-.15,-.30,-.25,-.11,-.05,-.21,-.32,-.15,-.44,-.15,-.28,-.32,-.63,-.23,-.12,-.31
1884,-.16,-.11,-.65,-.59,-.36,-.41,-.44,-.50,-.45,-.45,-.57,-.47,-.43,-.40,-.14,-.53,-.45,-.49
1885,-1.00,-.44,-.22,-.48,-.58,-.44,-.33,-.39,-.39,-.35,-.37,-.09,-.42,-.46,-.64,-.43,-.39,-.37
1886,-.73,-.82,-.70,-.36,-.32,-.37,-.13,-.42,-.33,-.30,-.39,-.19,-.42,-.41,-.55,-.46,-.31,-.34
1887,-1.07,-.69,-.43,-.36,-.24,-.20,-.23,-.53,-.19,-.47,-.26,-.43,-.43,-.41,-.65,-.34,-.32,-.31
1888,-.47,-.59,-.61,-.20,-.14,-.02,.01,-.20,-.19,-.02,.00,-.23,-.22,-.24,-.50,-.32,-.07,-.07
1889,-.26,.31,-.01,.17,-.03,-.06,-.07,-.20,-.30,-.41,-.62,-.55,-.17,-.14,-.06,.04,-.11,-.44
1890,-.64,-.60,-.47,-.24,-.36,-.16,-.23,-.39,-.35,-.10,-.64,-.46,-.39,-.39,-.60,-.36,-.26,-.37
1891,-.46,-.69,-.14,-.35,-.15,-.12,-.12,-.12,-.07,-.27,-.52,-.03,-.25,-.29,-.54,-.22,-.12,-.29
1892,-.48,-.15,-.66,-.44,-.23,-.05,-.38,-.33,-.19,-.27,-.82,-.64,-.39,-.33,-.22,-.44,-.25,-.43
1893,-1.49,-.94,-.31,-.29,-.43,-.18,-.14,-.33,-.28,-.27,-.33,-.61,-.47,-.47,-1.02,-.34,-.22,-.29
1894,-.90,-.40,-.19,-.53,-.25,-.40,-.20,-.26,-.32,-.26,-.48,-.36,-.38,-.40,-.64,-.32,-.29,-.35
1895,-.67,-.80,-.47,-.17,-.29,-.21,-.18,-.27,-.06,-.08,-.10,-.21,-.29,-.30,-.61,-.31,-.22,-.08
1896,-.34,-.17,-.48,-.58,-.16,.08,.00,-.10,-.12,.06,-.20,-.21,-.18,-.18,-.24,-.40,.00,-.08
1897,-.39,-.40,-.39,-.05,.14,-.05,.06,-.05,-.05,-.14,-.26,-.27,-.15,-.15,-.33,-.10,-.01,-.15
1898,.07,-.43,-.78,-.26,-.26,-.07,-.11,-.16,-.16,-.35,-.50,-.25,-.27,-.27,-.21,-.43,-.11,-.34
